"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2017 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Enrollment by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,236,72,787,369
"Principles of Sociology",SOC201,87,33,347,115
"Mind, Brain, and Behavior",PSY210,71,18,211,80
"Human Sexual Behav,  Relatnshi",PSY455,138,31,474,142
"Multicultural Psychology",PSY325,36,14,132,44
"Principles of Psychology I",PSY202,33,N<10,148,49
"Contemporary Social Problems",SOC301,22,N<10,150,39
"Gender and Sexuality",SOC328,12,N<10,74,N<10
"Survey Research",SOC444,N<10,N<10,39,12
"Survey Research Activity",SOC444A,N<10,N<10,39,12
"Statistics For Social Sci Act",PSY307A,23,N<10,78,17
"Research Methods In Psychology",PSY204,31,N<10,64,31
"Juvenile Delinquency",SOC360,15,N<10,99,12
"Health Psychology",PSY326,83,20,300,105
"Urban Sociology",SOC401,N<10,N<10,38,N<10
"Social Work Practice",SW301,N<10,N<10,55,N<10
"Senior Seminar",PSY498,33,N<10,101,29
"Research Methods In Sociolgy I",SOC204,16,N<10,133,12
"Statistics For The Social Scie",PSY307,23,N<10,78,17
"Socialization,  Self and Socie",SOC402,10,N<10,103,N<10
"Principles of Sociology",SOC202,10,N<10,102,11
"Statistics For The Social Sci",SOC307,18,N<10,91,16
"Statistics For Social Sci Act",SOC307A,18,N<10,91,16
"Abnormal Psychology",PSY415,34,N<10,84,36
"Social Stratificationand Inequ",SOC309,N<10,N<10,110,N<10
"Theories of Counseling",PSY412,12,N<10,19,N<10
"Industrial and Organizatio Psy",PSY332,20,N<10,43,13
"Treatment of Law Violators",SW318,N<10,N<10,34,N<10
"Basic Developmental Psychology",PSY305,N<10,N<10,53,25
"Classical Sociological Theory",SOC305,N<10,N<10,107,11
"Senior Seminar Service Lrng",SOC498S,N<10,N<10,28,N<10
Criminology,SOC302,10,N<10,69,11
"Psychology of Women",PSY322,19,N<10,60,N<10
"Probation and Parole",SW320,10,N<10,69,N<10
"Ethnic Relations In America",SOC320,N<10,N<10,40,N<10
"Senior Seminar",SOC498,10,N<10,68,N<10
"Environmental Psychology",PSY420,N<10,N<10,26,N<10
"Politics As A Soc Institution",SOC322,N<10,N<10,31,N<10
"Family As A Social Institution",SOC321,10,N<10,64,N<10
"Sensation and Perception",PSY460,N<10,N<10,22,N<10
"Program Evaluation",PSY430,N<10,N<10,35,12
"Cognitive Processes",PSY334,31,N<10,63,19
"Basic Counseling Skills",PSY417,26,N<10,70,27
"Contemporary Sociological Thry",SOC306,N<10,N<10,63,N<10
"Field Work",SW402,N<10,N<10,61,N<10
"Organizational Change and Inte",PSY452,20,N<10,44,13
"Soc Welfare Policies and Issue",SW431,N<10,N<10,24,N<10
"Survey of Social Welfare",SW300,N<10,N<10,37,N<10
"Child Psych,  Early Childhood",PSY310,15,N<10,50,21
"Adolescent Psychology",PSY312,32,N<10,70,12
"Sociology of Minority Commun",SOC323,N<10,N<10,106,12
"Theories of Learning",PSY402,N<10,N<10,26,N<10
"Memory and Amnesia",PSY335,32,N<10,76,13
"Rsrch Methods In Sociology II",SOC205,14,N<10,129,14
"Exper Psy and Res Meth and Des",PSY433,34,N<10,82,24
"Exper Psy and Res Meth and Des",PSY433L,34,N<10,82,24
"Spec Study Ud Students",PSY400,15,N<10,23,N<10
"Qualitative Methds In Psychlgy",PSY404,13,N<10,37,11
"Family Violence",SW322,N<10,N<10,63,12
"Social Psychology",PSY401,13,N<10,55,11
"Spec Topics Ud Students",PSY499,N<10,N<10,14,N<10

