"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2013 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Average GPA by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,3,2.37,2.65,2.8
"Human Sexual Behav,  Relatnshi",PSY455,3.13,2.85,2.85,2.78
"Principles of Psychology I",PSY202,2.52,1.72,2.08,2.14
"Mind, Brain, and Behavior",PSY210,2.86,N<10,2.38,2.47
"Classical Sociological Theory",SOC305,3.2,N<10,2.85,2.94
"Health Psychology",PSY326,3.06,2.58,2.93,2.92
"Principles of Sociology",SOC201,2.74,2.22,2.51,2.49
"Gender and Sexuality",SOC328,3.34,N<10,3.34,3.47
"Socialization,  Self and Socie",SOC402,3.47,N<10,3.42,3.44
"Exper Psy and Res Meth and Des",PSY433,2.99,2.67,2.66,2.73
"Exper Psy and Res Meth and Des",PSY433L,2.99,2.67,2.66,2.73
"Multicultural Psychology",PSY325,2.83,2.91,3.02,2.95
"Theories of Counseling",PSY412,3.08,N<10,2.87,2.89
"Psychology of Personality",PSY403,2.87,N<10,2.64,2.33
"Abnormal Psychology",PSY415,3.29,N<10,2.8,2.64
"Psychology of Women",PSY322,N<10,N<10,2.52,2.39
"Research Methods In Psychology",PSY204,3.18,N<10,2.89,3.06
"Adolescent Psychology",PSY312,3.45,N<10,3.14,3.17
"Child Psych,  Early Childhood",PSY310,2.86,N<10,3.04,3.06
"Senior Seminar",SOC498,3.97,N<10,3.65,3.77
"Theories of Learning",PSY402,1.85,N<10,1.67,1.9
"Probation and Parole",SW320,3.28,N<10,3.02,N<10
"The Psychology of Identity",PSY321,N<10,N<10,2.82,N<10
"Treatment of Law Violators",SW318,N<10,N<10,2.84,N<10
"Contemporary Sociological Thry",SOC306,2.85,N<10,3.09,2.92
Criminology,SOC302,2.81,N<10,2.66,2.26
"Principles of Sociology",SOC202,3.11,N<10,2.92,N<10
"Statistics For The Social Scie",PSY307,3.45,N<10,2.91,2.76
"Statistics For Social Sci Act",PSY307A,3.45,N<10,2.91,2.76
"Child Psych,  The Middle Years",PSY311,N<10,N<10,2.8,N<10
"Contemporary Social Problems",SOC301,3.09,N<10,2.83,2.58
"Religion In American Life",SOC324,N<10,N<10,3.31,N<10
"Ethnic Relations In America",SOC320,N<10,N<10,3.43,N<10
"Spec Topics Ud Students",SOC499,N<10,N<10,3.82,N<10
"Social Stratificationand Inequ",SOC309,2.73,N<10,2.77,2.8
"Memory and Amnesia",PSY335,2.4,N<10,2.27,N<10
"Family As A Social Institution",SOC321,3.27,N<10,2.98,N<10
"History and Systems",PSY410,N<10,N<10,2.32,N<10
"Death and Dying",SW470,N<10,N<10,3.41,N<10
"Survey of Social Welfare",SW300,N<10,N<10,3.72,N<10
"Senior Seminar",PSY498,3.79,N<10,3.52,3.6
"Social Psychology",PSY401,3.03,N<10,2.7,2.6
"Program Evaluation",PSY430,3.58,3.77,3.54,3.52
"Social Inequality and Sport",SOC451,N<10,N<10,2.93,3.33
"Basic Counseling Skills",PSY417,3.08,N<10,3.29,N<10
"Rsrch Methods In Sociology II",SOC205,N<10,N<10,3.82,3.86
"Sociology of Minority Commun",SOC323,N<10,N<10,3.55,3.77
"Statistics For The Social Sci",SOC307,3.33,N<10,3.28,3.46
"Family Violence",SW322,N<10,N<10,3.66,N<10
"Survey Research",SOC444,N<10,N<10,3.41,3.21
"Social Work Practice",SW301,N<10,N<10,3.25,N<10
"Technology and Society",SOC440,3.82,N<10,3.59,N<10
"Juvenile Delinquency",SOC360,3.45,N<10,3.29,3.56
"Research Methods In Sociolgy I",SOC204,N<10,N<10,2.75,2.74
"Industrial and Organizatio Psy",PSY332,3.68,N<10,3.37,3.47
"Soc Welfare Policies and Issue",SW431,N<10,N<10,3.79,N<10
"Survey Research Activity",SOC444A,N<10,N<10,3.8,3.64
"Basic Developmental Psychology",PSY305,3,N<10,2.69,2.59
"Statistics For Social Sci Act",SOC307A,3.36,N<10,3.42,3.46
"Cognitive Processes",PSY334,2.85,N<10,2.47,2.27
"Urban Sociology",SOC401,3.36,N<10,3.43,N<10
"Field Work",SW402,N<10,N<10,3.98,4
"Human Relations",PSY314,3.71,N<10,3.74,3.65

