"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:31 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2018 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"Introduction To Psychology",PSY2201,512,347,2.74,2.62,0.12
"Introduction To Sociology",SOC2201,305,156,2.08,2.17,-0.09
"Human Sexuality,  Relationship",PSY4455,447,212,2.9,2.83,0.06
"Theories of Learning",PSY4402,176,57,2.38,2.55,-0.17
"Abnormal Psychology",PSY4150,346,121,2.86,2.79,0.07
"Multicultural Psychology",PSY3325,361,140,2.92,2.86,0.06
"Basic Developmental Psychology",PSY3305,337,120,3,2.94,0.06
"Race and Ethnic Relations",SOC3320,116,60,2.71,2.88,-0.17
"Mind Brain Behvr Intgrtd View",PSY2210,107,44,2.72,2.67,0.05
"Juvenile Delinquency",CRM3360,138,66,2.66,2.57,0.1
"Crime Criminalization Society",SOC3345,151,79,2.85,2.84,0.01
"Socialization,  Self and Socie",SOC4402,231,80,2.74,2.72,0.01
"Adolescent Psychology",PSY3312,137,45,2.91,2.96,-0.05
"Social Strat and Inequality",SOC3309,229,83,3.22,3.33,-0.11
"Intro Soc Work and Soc Welfare",SW2201,41,N<10,3.38,N<10,N/A
"Program Evaluation Lab",PSY4430A,74,26,2.6,2.62,-0.02
"Statistics For Psychology Act",PSY3307A,202,65,2.96,2.89,0.06
"Gender and Sexuality",SOC3328,197,65,3.13,2.9,0.23
"Contemp Treat of Law Violators",CRM3318,37,17,2.05,2.29,-0.25
"Experimental Psychology",PSY4433,122,39,3.1,3.02,0.08
"Qual Mthds For Soclgy Lab",SOC4110L,41,10,3.05,3.1,-0.05
"Classic Sociological Theory",SOC3305,243,92,2.74,2.88,-0.14
"Statistics For Psychology",PSY3307,202,65,2.79,2.85,-0.06
"Statistics For Sociology",SOC3307,142,47,3.1,3.12,-0.02
"Experimental Psychology Act",PSY4433A,122,39,3.11,3.04,0.07
"Cognitive Processes",PSY3334,248,98,2.75,2.75,0
"Social Psychology",PSY4401,360,115,3.08,3.11,-0.03
"Qualitative Methods For Soc",SOC4110,41,10,3.04,3.17,-0.13
"Spec Topic For Ud Students",PSY4990,38,N<10,3.38,N<10,N/A
"Social Work Practice",SW3301,53,N<10,3.4,N<10,N/A
"Social Work Pract Lab",SW3301L,53,N<10,3.4,N<10,N/A
"Organizational Psychology",PSY3332,145,45,3.29,3.32,-0.03
"Program Evaluation",PSY4430,74,26,2.54,2.55,-0.02
"Psychology of Identity",PSY3321,39,N<10,2.67,N<10,N/A
"Statistics For Sociology Lab",SOC3307L,142,47,3.25,3.39,-0.14
"Senior Seminar",PSY4611,127,47,3.68,3.28,0.4
"Family Violence",SW3322,89,24,3.28,3.4,-0.12
"Basic Counseling Skills",PSY4170,39,N<10,3.12,N<10,N/A
"Health Psychology",PSY3326,248,120,3.01,2.86,0.15
"Contemp Sociology Theory",SOC3306,131,46,3.15,2.93,0.22
"Child Psychology For Educators",PSY2206,72,N<10,2.71,N<10,N/A
"Research Methods In Sociology",SOC2205,210,72,3.18,3.08,0.1
"Soc Welfare Policy Issues",SW3310,82,12,3.31,3.39,-0.08
"Soc Inequality Sport and Body",SOC4451,77,37,3.19,3.1,0.09
"Probation and Parole",CRM3320,107,49,3.03,2.95,0.08
"Senior Symposium",SOC4611,108,41,3.07,2.87,0.2
"Qualitative Methods In Psych",PSY4404,36,11,3.87,3.79,0.08
"Qualitative Mthds In Psych Act",PSY4404A,36,11,3.87,3.79,0.08
"Child Psych,  Early Childhood",PSY3310,96,17,3,3.25,-0.25
"Technology and Society",SOC4440,19,12,2.54,1.56,0.98
"Research Methods In Psychology",PSY2204,139,43,2.65,2.46,0.18
"Quantitative Mthds Sociology",SOC4100,25,N<10,2.88,N<10,N/A
"Quantitative Mthds Soclgy Lab",SOC4100L,25,N<10,2.88,N<10,N/A
"Community and Urban Sociology",SOC3325,72,40,3.02,3.11,-0.09
"Spec Study For Ud Students",PSY4000,41,18,3.94,4,-0.06
"Psychology of Personality",PSY4403,34,15,2.81,3.13,-0.33
"Theories of Counseling",PSY4121,36,13,3.2,2.62,0.59
"Latina and O Sociology",SOC3313,37,10,3.13,3.23,-0.11
"Careers In Psychology",PSY2222,33,15,3.99,4,-0.01
Internship,SW4411,45,N<10,3.97,N<10,N/A

