"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2011 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Pell Status Summary"
Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,499,708,2.57,2.88,0.31
"Principles of Sociology",SOC201,235,276,2.63,2.92,0.29
"Mind, Brain, and Behavior",PSY210,107,164,2.04,2.31,0.27
"Human Sexual Behav,  Relatnshi",PSY455,126,199,3.13,3.28,0.15
"Principles of Sociology",SOC202,127,143,2.6,2.83,0.22
"Statistics For Social Sci Act",PSY307A,76,111,2.87,2.82,-0.05
"Statistics For The Social Scie",PSY307,76,111,2.83,2.76,-0.07
"Principles of Psychology I",PSY202,177,180,2.62,2.72,0.11
"Theories of Learning",PSY402,31,43,1.89,2.18,0.28
"Socialization,  Self and Socie",SOC402,72,71,3.19,3.28,0.09
"Exper Psy and Res Meth and Des",PSY433,86,104,2.5,2.85,0.35
"Basic Developmental Psychology",PSY305,55,89,3.41,3.64,0.23
"Politics As A Soc Institution",SOC322,60,66,2.98,3.35,0.38
"Ethnic Relations In America",SOC320,28,18,2.52,3.15,0.62
"Urban Sociology",SOC401,65,56,3.24,3.36,0.12
"Social Psychology",PSY401,79,113,2.71,2.99,0.28
"History and Systems",PSY410,30,66,2.55,2.93,0.38
"Multicultural Psychology",PSY325,108,154,3.45,3.51,0.07
"Research Methods In Psychology",PSY204,103,128,2.49,2.63,0.14
"Juvenile Delinquency",SOC360,74,70,3.02,3.22,0.19
"Health Psychology",PSY326,97,156,2.76,2.88,0.12
"Contemporary Sociological Thry",SOC306,58,61,3.06,3.2,0.14
"Statistics For Social Sci Act",SOC307A,41,53,3.37,3.37,-0
"Statistics For The Social Sci",SOC307,41,53,3.37,3.36,-0.01
"Psychology of Personality",PSY403,50,92,2.76,2.73,-0.03
"Prin of Behavorial Management",PSY450,33,53,2.75,2.91,0.16
"Abnormal Psychology",PSY415,78,114,2.87,2.81,-0.07
"Treatment of Law Violators",SW318,58,42,3.1,3.3,0.21
"Rsrch Methods In Sociology II",SOC205,75,62,3.64,3.48,-0.15
"Classical Sociological Theory",SOC305,71,72,2.6,2.92,0.32
"Probation and Parole",SW320,25,25,3.56,3.41,-0.15
"Survey of Social Welfare",SW300,64,50,3.3,3.44,0.14
"Theories of Counseling",PSY412,57,88,2.55,2.93,0.37
"Exper Psy and Res Meth and Des",PSY433L,86,104,2.68,2.99,0.31
"Family Violence",SW322,89,55,3.6,3.65,0.04
Criminology,SOC302,71,73,2.78,2.8,0.02
"Field Work",SW402,61,50,3.89,3.98,0.09
"Leadership and Teams",PSY490,21,25,3.68,3.63,-0.06
"Program Evaluation",PSY430,44,53,3.64,3.58,-0.07
"Cognitive Processes",PSY334,65,79,2.33,2.61,0.27
"The Psychology of Identity",PSY321,48,95,2.6,2.73,0.13
"Senior Seminar",PSY498,80,109,3.34,3.54,0.2
"Social Work Practice",SW301,32,20,3.19,3.5,0.31
"Social Stratificationand Inequ",SOC309,82,63,3.24,3.46,0.21
"Survey Research Activity",SOC444A,23,36,3.68,3.83,0.15
"Child Psych,  Early Childhood",PSY310,58,86,3.55,3.61,0.06
"Industrial and Organizatio Psy",PSY332,25,23,3.33,3.59,0.26
"Psychological Testing",PSY416,22,26,3.32,3.38,0.07
"Memory and Amnesia",PSY335,19,23,2.91,2.91,0.01
"Spec Topics Ud Students",SOC499,12,19,3.89,3.75,-0.14
"Sensation and Perception",PSY460,12,23,2.22,2,-0.22
"Sensation and Perception Act",PSY460A,12,23,2.22,2,-0.22
"Community Psychology",PSY425,19,29,2.7,2.72,0.02
"Social Inequality and Sport",SOC451,20,24,2.58,2.9,0.32
"Contemporary Social Problems",SOC301,64,63,2.72,2.96,0.24
"Research Methods In Sociolgy I",SOC204,79,66,2.88,3.16,0.28
"Soc Welfare Policies and Issue",SW431,40,22,3.69,3.85,0.16
"Senior Seminar",SOC498,62,57,3.36,3.52,0.16
"Psychology of Women",PSY322,42,51,2.5,2.6,0.1
"Sociology of Minority Commun",SOC323,20,28,3.67,3.52,-0.14
"Social Change",SOC340,23,24,3.2,3.18,-0.02
"Survey Research",SOC444,23,36,3.26,3.33,0.08

