"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2017 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Pell Status Summary"
Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,815,869,2.7,2.92,0.22
"Principles of Sociology",SOC201,355,318,2.18,2.46,0.27
"Mind, Brain, and Behavior",PSY210,206,239,2.24,2.38,0.14
"Human Sexual Behav,  Relatnshi",PSY455,486,404,2.95,3,0.06
"Multicultural Psychology",PSY325,147,106,2.72,2.64,-0.08
"Principles of Psychology I",PSY202,159,109,2.57,2.6,0.02
"Contemporary Social Problems",SOC301,157,85,2.6,2.83,0.23
"Gender and Sexuality",SOC328,70,29,2.91,2.99,0.08
"Survey Research",SOC444,43,25,2.98,2.83,-0.15
"Survey Research Activity",SOC444A,43,25,2.98,2.83,-0.15
"Statistics For Social Sci Act",PSY307A,72,73,3.09,3.04,-0.05
"Research Methods In Psychology",PSY204,80,71,2.86,2.76,-0.1
"Juvenile Delinquency",SOC360,90,54,2.85,2.98,0.13
"Health Psychology",PSY326,330,236,2.97,2.97,0
"Urban Sociology",SOC401,33,14,2.7,3.05,0.35
"Social Work Practice",SW301,53,25,3.28,3.41,0.13
"Senior Seminar",PSY498,100,94,3.66,3.57,-0.09
"Research Methods In Sociolgy I",SOC204,125,61,2.88,2.99,0.11
"Statistics For The Social Scie",PSY307,72,73,2.98,2.99,0.01
"Socialization,  Self and Socie",SOC402,100,43,2.75,2.93,0.18
"Principles of Sociology",SOC202,89,46,2.48,2.64,0.16
"Statistics For The Social Sci",SOC307,99,45,3.32,3.39,0.07
"Statistics For Social Sci Act",SOC307A,99,45,3.32,3.39,0.07
"Abnormal Psychology",PSY415,101,88,2.92,2.91,-0.01
"Social Stratificationand Inequ",SOC309,98,46,2.58,2.86,0.27
"Theories of Counseling",PSY412,28,21,2.68,3.14,0.47
"Industrial and Organizatio Psy",PSY332,51,43,3.57,3.47,-0.1
"Treatment of Law Violators",SW318,33,15,3.01,3.09,0.08
"Basic Developmental Psychology",PSY305,56,39,2.61,2.48,-0.13
"Classical Sociological Theory",SOC305,102,41,2.77,2.94,0.17
"Senior Seminar Service Lrng",SOC498S,23,17,3.2,2.92,-0.28
Criminology,SOC302,66,29,2.66,2.93,0.27
"Psychology of Women",PSY322,59,40,3.39,3.42,0.03
"Probation and Parole",SW320,62,36,3.2,3.46,0.27
"Ethnic Relations In America",SOC320,28,20,2.74,2.78,0.05
"Senior Seminar",SOC498,67,33,3.2,3.2,-0.01
"Environmental Psychology",PSY420,24,19,3.03,2.91,-0.12
"Politics As A Soc Institution",SOC322,34,14,3.16,3.36,0.2
"Family As A Social Institution",SOC321,67,29,3.05,3.1,0.05
"Sensation and Perception",PSY460,19,22,2.72,2.88,0.16
"Program Evaluation",PSY430,34,37,3.22,3.08,-0.13
"Cognitive Processes",PSY334,83,58,2.23,2.22,-0
"Basic Counseling Skills",PSY417,74,68,3.09,3.16,0.08
"Contemporary Sociological Thry",SOC306,65,30,3.15,3.18,0.03
"Field Work",SW402,57,24,3.9,3.96,0.06
"Organizational Change and Inte",PSY452,49,43,3.65,3.63,-0.02
"Soc Welfare Policies and Issue",SW431,21,11,3.35,3.42,0.08
"Survey of Social Welfare",SW300,32,16,3.37,3.62,0.26
"Child Psych,  Early Childhood",PSY310,51,43,3.28,3.25,-0.03
"Adolescent Psychology",PSY312,79,63,3.16,3.2,0.03
"Sociology of Minority Commun",SOC323,101,41,3.21,3.47,0.26
"Theories of Learning",PSY402,29,18,2.77,3.17,0.4
"Memory and Amnesia",PSY335,66,75,3.33,3.11,-0.22
"Rsrch Methods In Sociology II",SOC205,116,63,3.31,3.37,0.05
"Exper Psy and Res Meth and Des",PSY433,77,88,3.34,3.2,-0.14
"Exper Psy and Res Meth and Des",PSY433L,77,88,3.34,3.2,-0.14
"Spec Study Ud Students",PSY400,33,23,3.98,3.97,-0.01
"Qualitative Methds In Psychlgy",PSY404,40,34,3.6,3.78,0.19
"Family Violence",SW322,66,29,3.54,3.61,0.07
"Social Psychology",PSY401,63,33,2.79,2.76,-0.03
"Spec Topics Ud Students",PSY499,N<10,18,N<10,4,N/A

