"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2011 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"URM/Non-URM Summary"
Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"General Psychology",PSY201,741,466,2.8,2.67,0.13
"Principles of Sociology",SOC201,252,259,2.96,2.61,0.35
"Mind, Brain, and Behavior",PSY210,139,132,2.32,2.08,0.24
"Human Sexual Behav,  Relatnshi",PSY455,174,151,3.33,3.11,0.22
"Principles of Sociology",SOC202,125,145,2.96,2.51,0.45
"Statistics For Social Sci Act",PSY307A,88,99,2.8,2.87,-0.08
"Statistics For The Social Scie",PSY307,88,99,2.75,2.82,-0.07
"Principles of Psychology I",PSY202,157,200,2.79,2.57,0.22
"Theories of Learning",PSY402,35,39,2.28,1.86,0.41
"Socialization,  Self and Socie",SOC402,51,92,3.17,3.26,-0.09
"Exper Psy and Res Meth and Des",PSY433,94,96,2.76,2.62,0.15
"Basic Developmental Psychology",PSY305,67,77,3.67,3.44,0.23
"Politics As A Soc Institution",SOC322,57,69,3.36,3.02,0.33
"Ethnic Relations In America",SOC320,15,31,3.29,2.52,0.77
"Urban Sociology",SOC401,53,68,3.33,3.27,0.05
"Social Psychology",PSY401,86,106,2.95,2.81,0.14
"History and Systems",PSY410,50,46,2.89,2.73,0.15
"Multicultural Psychology",PSY325,119,143,3.56,3.43,0.13
"Research Methods In Psychology",PSY204,95,136,2.79,2.4,0.38
"Juvenile Delinquency",SOC360,57,87,3.29,3,0.28
"Health Psychology",PSY326,141,112,2.92,2.72,0.2
"Contemporary Sociological Thry",SOC306,45,74,3.13,3.14,-0
"Statistics For Social Sci Act",SOC307A,43,51,3.42,3.33,0.09
"Statistics For The Social Sci",SOC307,43,51,3.41,3.33,0.08
"Psychology of Personality",PSY403,71,71,2.88,2.6,0.28
"Prin of Behavorial Management",PSY450,42,44,2.96,2.74,0.22
"Abnormal Psychology",PSY415,96,96,2.94,2.74,0.2
"Treatment of Law Violators",SW318,27,73,3.14,3.2,-0.07
"Rsrch Methods In Sociology II",SOC205,56,81,3.47,3.63,-0.17
"Classical Sociological Theory",SOC305,53,90,2.89,2.69,0.2
"Probation and Parole",SW320,17,33,3.61,3.43,0.18
"Survey of Social Welfare",SW300,36,78,3.29,3.39,-0.11
"Theories of Counseling",PSY412,76,69,2.88,2.67,0.21
"Exper Psy and Res Meth and Des",PSY433L,94,96,2.92,2.78,0.14
"Family Violence",SW322,47,97,3.74,3.56,0.17
Criminology,SOC302,60,84,2.99,2.65,0.33
"Field Work",SW402,34,77,4,3.89,0.11
"Leadership and Teams",PSY490,22,24,3.52,3.78,-0.26
"Program Evaluation",PSY430,49,48,3.6,3.61,-0.01
"Cognitive Processes",PSY334,70,74,2.76,2.21,0.55
"The Psychology of Identity",PSY321,61,82,2.81,2.6,0.22
"Senior Seminar",PSY498,87,102,3.49,3.43,0.06
"Social Work Practice",SW301,16,36,3.75,3.11,0.64
"Social Stratificationand Inequ",SOC309,54,91,3.28,3.37,-0.08
"Survey Research Activity",SOC444A,31,28,3.7,3.85,-0.15
"Child Psych,  Early Childhood",PSY310,61,83,3.61,3.57,0.05
"Industrial and Organizatio Psy",PSY332,27,21,3.48,3.43,0.05
"Psychological Testing",PSY416,17,31,3.39,3.33,0.06
"Memory and Amnesia",PSY335,18,24,3.04,2.81,0.23
"Spec Topics Ud Students",SOC499,17,14,3.98,3.6,0.38
"Sensation and Perception",PSY460,18,17,2,2.16,-0.15
"Sensation and Perception Act",PSY460A,18,17,2,2.16,-0.15
"Community Psychology",PSY425,21,27,2.67,2.75,-0.09
"Social Inequality and Sport",SOC451,22,22,2.86,2.63,0.23
"Contemporary Social Problems",SOC301,69,58,2.88,2.79,0.09
"Research Methods In Sociolgy I",SOC204,64,81,3.11,2.93,0.18
"Soc Welfare Policies and Issue",SW431,24,38,3.81,3.71,0.09
"Senior Seminar",SOC498,45,74,3.44,3.44,0
"Psychology of Women",PSY322,43,50,2.59,2.52,0.07
"Sociology of Minority Commun",SOC323,20,28,3.6,3.58,0.02
"Social Change",SOC340,16,31,3.35,3.11,0.25
"Survey Research",SOC444,31,28,3.19,3.42,-0.22

