"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","375","78",710,"506",2013
"2","Human Sexual Behav,  Relatnshi","PSY455","169","28",365,"184",2013
"3","Principles of Psychology I","PSY202","32","18",147,"37",2013
"4","Mind, Brain, and Behavior","PSY210","59","N<10",118,"54",2013
"5","Classical Sociological Theory","SOC305","20","N<10",72,"16",2013
"6","Health Psychology","PSY326","135","19",247,"139",2013
"7","Principles of Sociology","SOC201","117","32",280,"117",2013
"8","Gender and Sexuality","SOC328","33","N<10",74,"15",2013
"9","Socialization,  Self and Socie","SOC402","12","N<10",78,"18",2013
"10","Exper Psy and Res Meth and Des","PSY433","27","10",86,"20",2013
"11","Exper Psy and Res Meth and Des","PSY433L","27","10",86,"20",2013
"12","Multicultural Psychology","PSY325","63","11",121,"58",2013
"13","Theories of Counseling","PSY412","13","N<10",55,"15",2013
"14","Psychology of Personality","PSY403","25","N<10",69,"29",2013
"15","Abnormal Psychology","PSY415","48","N<10",123,"74",2013
"16","Psychology of Women","PSY322","N<10","N<10",23,"13",2013
"17","Research Methods In Psychology","PSY204","24","N<10",65,"18",2013
"18","Adolescent Psychology","PSY312","17","N<10",91,"22",2013
"19","Child Psych,  Early Childhood","PSY310","12","N<10",54,"17",2013
"20","Senior Seminar","SOC498","11","N<10",57,"10",2013
"21","Theories of Learning","PSY402","13","N<10",51,"13",2013
"22","Probation and Parole","SW320","13","N<10",71,"N<10",2013
"23","The Psychology of Identity","PSY321","N<10","N<10",31,"N<10",2013
"24","Treatment of Law Violators","SW318","N<10","N<10",38,"N<10",2013
"25","Contemporary Sociological Thry","SOC306","18","N<10",71,"16",2013
"26","Criminology","SOC302","25","N<10",66,"17",2013
"27","Principles of Sociology","SOC202","16","N<10",47,"N<10",2013
"28","Statistics For The Social Scie","PSY307","20","N<10",78,"24",2013
"29","Statistics For Social Sci Act","PSY307A","20","N<10",78,"24",2013
"30","Child Psych,  The Middle Years","PSY311","N<10","N<10",27,"N<10",2013
"31","Contemporary Social Problems","SOC301","20","N<10",64,"24",2013
"32","Religion In American Life","SOC324","N<10","N<10",35,"N<10",2013
"33","Ethnic Relations In America","SOC320","N<10","N<10",31,"N<10",2013
"34","Spec Topics Ud Students","SOC499","N<10","N<10",13,"N<10",2013
"35","Social Stratificationand Inequ","SOC309","15","N<10",84,"22",2013
"36","Memory and Amnesia","PSY335","10","N<10",25,"N<10",2013
"37","Family As A Social Institution","SOC321","10","N<10",18,"N<10",2013
"38","History and Systems","PSY410","N<10","N<10",22,"N<10",2013
"39","Death and Dying","SW470","N<10","N<10",22,"N<10",2013
"40","Survey of Social Welfare","SW300","N<10","N<10",27,"N<10",2013
"41","Senior Seminar","PSY498","19","N<10",60,"15",2013
"42","Social Psychology","PSY401","10","N<10",23,"10",2013
"43","Program Evaluation","PSY430","36","10",108,"28",2013
"44","Social Inequality and Sport","SOC451","N<10","N<10",21,"10",2013
"45","Basic Counseling Skills","PSY417","17","N<10",53,"N<10",2013
"46","Rsrch Methods In Sociology II","SOC205","N<10","N<10",45,"12",2013
"47","Sociology of Minority Commun","SOC323","N<10","N<10",46,"10",2013
"48","Statistics For The Social Sci","SOC307","15","N<10",68,"18",2013
"49","Family Violence","SW322","N<10","N<10",31,"N<10",2013
"50","Survey Research","SOC444","N<10","N<10",36,"11",2013
"51","Social Work Practice","SW301","N<10","N<10",52,"N<10",2013
"52","Technology and Society","SOC440","11","N<10",23,"N<10",2013
"53","Juvenile Delinquency","SOC360","11","N<10",47,"12",2013
"54","Research Methods In Sociolgy I","SOC204","N<10","N<10",60,"14",2013
"55","Industrial and Organizatio Psy","PSY332","23","N<10",47,"15",2013
"56","Soc Welfare Policies and Issue","SW431","N<10","N<10",19,"N<10",2013
"57","Survey Research Activity","SOC444A","N<10","N<10",36,"11",2013
"58","Basic Developmental Psychology","PSY305","16","N<10",79,"33",2013
"59","Statistics For Social Sci Act","SOC307A","15","N<10",68,"18",2013
"60","Cognitive Processes","PSY334","20","N<10",43,"15",2013
"61","Urban Sociology","SOC401","11","N<10",22,"N<10",2013
"62","Field Work","SW402","N<10","N<10",64,"12",2013
"63","Human Relations","PSY314","17","N<10",30,"17",2013
