"","Data Download for Which Courses Have the Largest GPA Equity Gaps?","year"
"1","CSV from:",2020
"2","CSV created on:",2020
"3","Pomona",2020
"4","Enrollment by Ethnicity",2020
"5","Course",2020
"6","Introduction To Psychology",2020
"7","Research Methods In Psychology",2020
"8","Statistics For Sociology",2020
"9","Mind Brain Behvr Intgrtd View",2020
"10","Contemp Sociology Theory",2020
"11","Statistics For Psychology",2020
"12","Soc Inequality Sport and Body",2020
"13","Statistics For Sociology Lab",2020
"14","Soc Welfare Policy Issues",2020
"15","Multicultural Psychology",2020
"16","Organizational Psychology",2020
"17","Socialization,  Self and Socie",2020
"18","Crime Criminalization Society",2020
"19","Statistics For Psychology Act",2020
"20","Survey Research",2020
"21","Social Work Practice",2020
"22","Social Strat and Inequality",2020
"23","Social Work Pract Lab",2020
"24","Research Methods In Sociology",2020
"25","Basic Developmental Psychology",2020
"26","Hr In Organizations",2020
"27","Cognitive Processes",2020
"28","Community and Urban Sociology",2020
"29","Crm Theory",2020
"30","Introduction To Criminology",2020
"31","Impact Colonization On Hawaii",2020
"32","Memory and Amnesia",2020
"33","Careers In Psychology",2020
"34","Intro Soc Work and Soc Welfare",2020
"35","Senior Seminar",2020
"36","Classic Sociological Theory",2020
"37","Senior Symposium",2020
"38","Abnormal Psychology",2020
"39","Latina and O Sociology",2020
"40","Basic Counseling Skills",2020
"41","Leadership and Teams",2020
"42","Political Violence",2020
"43","Sociology of The Family",2020
"44","Qualitative Mthds In Psych Act",2020
"45","Quantitative Mthds Soclgy Lab",2020
"46","Psychology of Women",2020
"47","Immigration and Migration",2020
"48","Family Violence",2020
"49","Child Psych,  Early Childhood",2020
"50","Quantitative Mthds Sociology",2020
"51","Survey Research Act",2020
"52","Gender and Sexuality",2020
"53","Community Psychology",2020
"54","Theories of Counseling",2020
"55","Experimental Psychology",2020
"56","Probation and Parole",2020
"57","Juvenile Delinquency",2020
"58","Human Sexuality,  Relationship",2020
"59","Rsrch Methods In Criminology",2020
"60","Qualitative Methods In Psych",2020
"61","Human Rights",2020
"62","Program Evaluation",2020
"63","Contemp Treat of Law Violators",2020
"64","Crime Analysis Activity",2020
"65","Policing",2020
"66","Crime Analysis",2020
"67","Experimental Psychology Act",2020
"68","Black Sociology",2020
"69","Program Evaluation Lab",2020
"70","Adolescent Psychology",2020
"71","Child Psychology For Educators",2020
"72","Qualitative Methods For Soc",2020
"73","Sociology of Education",2020
"74","Internship",2020
"75","Introduction To Sociology",2020
"76","Senior Symposium",2020
"77","Health Psychology",2020
"78","Qual Mthds For Soclgy Lab",2020
"79","Race and Ethnic Relations",2020
"80","Media and Crime",2020
"81","Technology and Society",2020
"82","Social Psychology",2020
"83","Spec Study For Ud Students",2020
"84","Medical Social Work",2020
