"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"1","General Psychology","PSY201",280,927,2.47,2.83,0.36,2011
"2","Principles of Sociology","SOC201",168,343,2.61,2.87,0.27,2011
"3","Mind, Brain, and Behavior","PSY210",72,199,1.88,2.32,0.44,2011
"4","Human Sexual Behav,  Relatnshi","PSY455",94,231,3.04,3.3,0.27,2011
"5","Principles of Sociology","SOC202",96,174,2.53,2.82,0.29,2011
"6","Statistics For Social Sci Act","PSY307A",54,133,3.11,2.73,-0.38,2011
"7","Statistics For The Social Scie","PSY307",54,133,3.03,2.69,-0.34,2011
"8","Principles of Psychology I","PSY202",122,235,2.56,2.73,0.17,2011
"9","Theories of Learning","PSY402",28,46,1.6,2.34,0.75,2011
"10","Socialization,  Self and Socie","SOC402",58,85,3.05,3.35,0.3,2011
"11","Exper Psy and Res Meth and Des","PSY433",58,132,2.55,2.75,0.21,2011
"12","Basic Developmental Psychology","PSY305",39,105,3.38,3.61,0.24,2011
"13","Politics As A Soc Institution","SOC322",49,77,3.01,3.28,0.26,2011
"14","Ethnic Relations In America","SOC320",15,31,2.29,3,0.71,2011
"15","Urban Sociology","SOC401",42,79,3.12,3.39,0.27,2011
"16","Social Psychology","PSY401",60,132,2.77,2.92,0.16,2011
"17","History and Systems","PSY410",26,70,2.59,2.89,0.31,2011
"18","Multicultural Psychology","PSY325",85,177,3.56,3.45,-0.11,2011
"19","Research Methods In Psychology","PSY204",71,160,2.48,2.6,0.12,2011
"20","Juvenile Delinquency","SOC360",53,91,3,3.19,0.19,2011
"21","Health Psychology","PSY326",78,175,2.76,2.86,0.1,2011
"22","Contemporary Sociological Thry","SOC306",48,71,3.01,3.22,0.2,2011
"23","Statistics For Social Sci Act","SOC307A",25,69,3.19,3.44,0.25,2011
"24","Statistics For The Social Sci","SOC307",25,69,3.19,3.43,0.25,2011
"25","Psychology of Personality","PSY403",40,102,2.63,2.78,0.16,2011
"26","Prin of Behavorial Management","PSY450",25,61,2.68,2.91,0.23,2011
"27","Abnormal Psychology","PSY415",50,142,2.91,2.81,-0.1,2011
"28","Treatment of Law Violators","SW318",44,56,3.08,3.27,0.19,2011
"29","Rsrch Methods In Sociology II","SOC205",49,88,3.65,3.52,-0.14,2011
"30","Classical Sociological Theory","SOC305",49,94,2.68,2.8,0.12,2011
"31","Probation and Parole","SW320",21,29,3.67,3.36,-0.31,2011
"32","Survey of Social Welfare","SW300",50,64,3.44,3.3,-0.13,2011
"33","Theories of Counseling","PSY412",48,97,2.72,2.81,0.1,2011
"34","Exper Psy and Res Meth and Des","PSY433L",58,132,2.8,2.87,0.07,2011
"35","Family Violence","SW322",72,72,3.57,3.67,0.09,2011
"36","Criminology","SOC302",48,96,2.74,2.82,0.09,2011
"37","Field Work","SW402",54,57,3.87,3.98,0.11,2011
"38","Leadership and Teams","PSY490",18,28,3.5,3.75,0.25,2011
"39","Program Evaluation","PSY430",31,66,3.69,3.57,-0.12,2011
"40","Cognitive Processes","PSY334",49,95,2.43,2.51,0.08,2011
"41","The Psychology of Identity","PSY321",40,103,2.74,2.67,-0.07,2011
"42","Senior Seminar","PSY498",59,130,3.49,3.44,-0.05,2011
"43","Social Work Practice","SW301",24,28,3.22,3.39,0.18,2011
"44","Social Stratificationand Inequ","SOC309",56,89,3.3,3.36,0.06,2011
"45","Survey Research Activity","SOC444A",15,44,3.67,3.81,0.14,2011
"46","Child Psych,  Early Childhood","PSY310",45,99,3.55,3.6,0.06,2011
"47","Industrial and Organizatio Psy","PSY332",17,31,3.37,3.51,0.13,2011
"48","Psychological Testing","PSY416",17,31,3.43,3.31,-0.12,2011
"49","Memory and Amnesia","PSY335",17,25,2.83,2.96,0.13,2011
"50","Spec Topics Ud Students","SOC499",14,17,3.72,3.88,0.17,2011
"51","Sensation and Perception","PSY460",12,23,2.17,2.03,-0.14,2011
"52","Sensation and Perception Act","PSY460A",12,23,2.17,2.03,-0.14,2011
"53","Community Psychology","PSY425",20,28,2.77,2.68,-0.09,2011
"54","Social Inequality and Sport","SOC451",14,30,2.82,2.73,-0.09,2011
"55","Contemporary Social Problems","SOC301",37,90,2.87,2.83,-0.03,2011
"56","Research Methods In Sociolgy I","SOC204",56,89,3.02,3,-0.02,2011
"57","Soc Welfare Policies and Issue","SW431",26,36,3.72,3.77,0.05,2011
"58","Senior Seminar","SOC498",42,77,3.45,3.43,-0.02,2011
"59","Psychology of Women","PSY322",28,65,2.57,2.54,-0.03,2011
"60","Sociology of Minority Commun","SOC323",18,30,3.61,3.57,-0.03,2011
"61","Social Change","SOC340",15,32,3.2,3.19,-0.01,2011
"62","Survey Research","SOC444",15,44,3.31,3.3,-0.01,2011
