Course,"Course Code",White,"African American",Latino/a,Asian
"Introduction To Psychology",PSY2201,125,49,440,148
"Introduction To Sociology",SOC2201,40,23,290,51
"Human Sexuality,  Relationship",PSY4455,118,24,327,115
"Theories of Learning",PSY4402,36,N<10,142,24
"Abnormal Psychology",PSY4150,47,20,289,66
"Multicultural Psychology",PSY3325,61,16,294,74
"Basic Developmental Psychology",PSY3305,61,23,265,53
"Race and Ethnic Relations",SOC3320,N<10,12,125,15
"Mind Brain Behvr Intgrtd View",PSY2210,29,N<10,82,19
"Juvenile Delinquency",CRM3360,19,N<10,147,10
"Crime Criminalization Society",SOC3345,23,11,147,24
"Socialization,  Self and Socie",SOC4402,20,19,214,31
"Adolescent Psychology",PSY3312,20,10,106,26
"Social Strat and Inequality",SOC3309,21,17,229,24
"Intro Soc Work and Soc Welfare",SW2201,N<10,N<10,33,N<10
"Program Evaluation Lab",PSY4430A,20,N<10,48,14
"Statistics For Psychology Act",PSY3307A,36,11,158,26
"Gender and Sexuality",SOC3328,22,N<10,188,22
"Contemp Treat of Law Violators",CRM3318,N<10,N<10,37,N<10
"Experimental Psychology",PSY4433,31,N<10,86,19
"Qual Mthds For Soclgy Lab",SOC4110L,N<10,N<10,40,N<10
"Classic Sociological Theory",SOC3305,26,15,245,21
"Statistics For Psychology",PSY3307,36,11,158,26
"Statistics For Sociology",SOC3307,16,N<10,138,15
"Experimental Psychology Act",PSY4433A,31,N<10,86,19
"Cognitive Processes",PSY3334,47,16,196,45
"Social Psychology",PSY4401,63,25,261,69
"Qualitative Methods For Soc",SOC4110,N<10,N<10,40,N<10
"Spec Topic For Ud Students",PSY4990,N<10,N<10,31,N<10
"Social Work Practice",SW3301,N<10,N<10,41,N<10
"Social Work Pract Lab",SW3301L,N<10,N<10,41,N<10
"Organizational Psychology",PSY3332,24,10,103,26
"Program Evaluation",PSY4430,20,N<10,48,14
"Psychology of Identity",PSY3321,N<10,N<10,28,N<10
"Statistics For Sociology Lab",SOC3307L,16,N<10,138,15
"Senior Seminar",PSY4611,34,N<10,86,25
"Family Violence",SW3322,11,N<10,83,N<10
"Basic Counseling Skills",PSY4170,11,N<10,28,N<10
"Health Psychology",PSY3326,44,22,199,60
"Contemp Sociology Theory",SOC3306,10,N<10,128,14
"Child Psychology For Educators",PSY2206,15,N<10,48,N<10
"Research Methods In Sociology",SOC2205,15,12,208,21
"Soc Welfare Policy Issues",SW3310,N<10,N<10,70,N<10
"Soc Inequality Sport and Body",SOC4451,N<10,N<10,78,N<10
"Probation and Parole",CRM3320,14,N<10,104,10
"Senior Symposium",SOC4611,11,N<10,106,12
"Qualitative Methods In Psych",PSY4404,N<10,N<10,27,N<10
"Qualitative Mthds In Psych Act",PSY4404A,N<10,N<10,27,N<10
"Child Psych,  Early Childhood",PSY3310,15,N<10,72,12
"Technology and Society",SOC4440,N<10,N<10,19,N<10
"Research Methods In Psychology",PSY2204,26,N<10,104,24
"Quantitative Mthds Sociology",SOC4100,N<10,N<10,25,N<10
"Quantitative Mthds Soclgy Lab",SOC4100L,N<10,N<10,25,N<10
"Community and Urban Sociology",SOC3325,N<10,N<10,86,N<10
"Spec Study For Ud Students",PSY4000,14,N<10,24,13
"Psychology of Personality",PSY4403,N<10,N<10,28,N<10
"Theories of Counseling",PSY4121,N<10,N<10,26,N<10
"Latina and O Sociology",SOC3313,N<10,N<10,46,N<10
"Careers In Psychology",PSY2222,11,N<10,24,N<10
Internship,SW4411,N<10,N<10,42,N<10

