"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:31 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2020 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Enrollment by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"Introduction To Psychology",PSY2201,99,26,506,178
"Research Methods In Psychology",PSY2204,26,11,141,21
"Statistics For Sociology",SOC3307,22,13,239,22
"Mind Brain Behvr Intgrtd View",PSY2210,65,28,457,72
"Contemp Sociology Theory",SOC3306,26,N<10,278,24
"Statistics For Psychology",PSY3307,37,N<10,197,47
"Soc Inequality Sport and Body",SOC4451,10,N<10,75,10
"Statistics For Sociology Lab",SOC3307L,22,13,238,22
"Soc Welfare Policy Issues",SW3310,12,N<10,150,N<10
"Multicultural Psychology",PSY3325,82,29,484,108
"Organizational Psychology",PSY3332,25,N<10,148,35
"Socialization,  Self and Socie",SOC4402,12,10,150,N<10
"Crime Criminalization Society",SOC3345,26,N<10,168,19
"Statistics For Psychology Act",PSY3307A,37,N<10,197,47
"Survey Research",PSY4444,14,N<10,78,10
"Social Work Practice",SW3301,N<10,N<10,77,N<10
"Social Strat and Inequality",SOC3309,18,13,259,25
"Social Work Pract Lab",SW3301L,N<10,N<10,77,N<10
"Research Methods In Sociology",SOC2205,26,13,362,38
"Basic Developmental Psychology",PSY3305,54,19,277,66
"Hr In Organizations",PSY3314,N<10,N<10,30,N<10
"Cognitive Processes",PSY3334,27,N<10,136,33
"Community and Urban Sociology",SOC3325,11,N<10,102,N<10
"Crm Theory",CRM3350,N<10,N<10,72,N<10
"Introduction To Criminology",CRM2201,27,N<10,248,28
"Impact Colonization On Hawaii",SOC4465,N<10,N<10,24,N<10
"Memory and Amnesia",PSY3335,12,N<10,73,13
"Careers In Psychology",PSY2222,45,N<10,258,50
"Intro Soc Work and Soc Welfare",SW2201,N<10,N<10,163,N<10
"Senior Seminar",PSY4611,39,15,232,55
"Classic Sociological Theory",SOC3305,23,15,367,39
"Senior Symposium",SOC4611,24,12,170,14
"Abnormal Psychology",PSY4150,53,18,325,87
"Latina and O Sociology",SOC3313,N<10,N<10,149,N<10
"Basic Counseling Skills",PSY4170,48,16,265,53
"Leadership and Teams",PSY4490,N<10,N<10,27,N<10
"Political Violence",CRM3380,N<10,N<10,38,N<10
"Sociology of The Family",SOC3321,11,N<10,73,N<10
"Qualitative Mthds In Psych Act",PSY4404A,10,N<10,80,24
"Quantitative Mthds Soclgy Lab",SOC4100L,14,N<10,89,N<10
"Psychology of Women",PSY3322,14,N<10,72,13
"Immigration and Migration",SOC3350,13,12,177,15
"Family Violence",SW3322,14,N<10,151,11
"Child Psych,  Early Childhood",PSY3310,30,12,187,34
"Quantitative Mthds Sociology",SOC4100,14,N<10,89,N<10
"Survey Research Act",PSY4444A,14,N<10,78,10
"Gender and Sexuality",SOC3328,19,14,274,20
"Community Psychology",PSY4250,N<10,N<10,29,N<10
"Theories of Counseling",PSY4121,N<10,N<10,27,N<10
"Experimental Psychology",PSY4433,47,12,232,50
"Probation and Parole",CRM3320,14,N<10,112,11
"Juvenile Delinquency",CRM3360,N<10,N<10,82,N<10
"Human Sexuality,  Relationship",PSY4455,73,17,409,110
"Rsrch Methods In Criminology",CRM2205,N<10,N<10,35,N<10
"Qualitative Methods In Psych",PSY4404,10,N<10,80,24
"Human Rights",SW4440,N<10,N<10,62,N<10
"Program Evaluation",PSY4430,22,N<10,114,20
"Contemp Treat of Law Violators",CRM3318,N<10,N<10,78,N<10
"Crime Analysis Activity",CRM3306A,N<10,N<10,34,N<10
Policing,CRM3319,N<10,N<10,95,16
"Crime Analysis",CRM3306,N<10,N<10,34,N<10
"Experimental Psychology Act",PSY4433A,47,12,232,50
"Black Sociology",SOC3314,14,N<10,65,N<10
"Program Evaluation Lab",PSY4430A,22,N<10,114,20
"Adolescent Psychology",PSY3312,25,N<10,185,36
"Child Psychology For Educators",PSY2206,N<10,N<10,41,N<10
"Qualitative Methods For Soc",SOC4110,12,N<10,103,11
"Sociology of Education",SOC3360,N<10,N<10,34,N<10
Internship,SW4411,10,N<10,81,N<10
"Introduction To Sociology",SOC2201,45,26,308,82
"Senior Symposium",CRM4611,N<10,N<10,29,N<10
"Health Psychology",PSY3326,51,10,261,77
"Qual Mthds For Soclgy Lab",SOC4110L,12,N<10,103,11
"Race and Ethnic Relations",SOC3320,16,16,205,15
"Media and Crime",CRM3390,19,12,174,16
"Technology and Society",SOC4440,10,N<10,69,14
"Social Psychology",PSY4401,20,N<10,145,33
"Spec Study For Ud Students",PSY4000,N<10,N<10,16,12
"Medical Social Work",SW3320,N<10,N<10,34,N<10

