Course,"Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap"
"General Psychology",PSY201,523,"1,361",2.68,2.79,0.11
"Human Sexual Behav,  Relatnshi",PSY455,265,557,2.83,2.95,0.12
"Principles of Psychology I",PSY202,102,149,1.97,2.25,0.28
"Mind, Brain, and Behavior",PSY210,76,193,2.35,2.57,0.23
"Classical Sociological Theory",SOC305,54,72,3.13,2.7,-0.44
"Health Psychology",PSY326,189,427,2.9,2.99,0.09
"Principles of Sociology",SOC201,177,432,2.5,2.58,0.08
"Gender and Sexuality",SOC328,56,86,3.57,3.26,-0.3
"Socialization,  Self and Socie",SOC402,49,76,3.59,3.24,-0.34
"Exper Psy and Res Meth and Des",PSY433,53,110,2.58,2.84,0.25
"Exper Psy and Res Meth and Des",PSY433L,53,110,2.58,2.84,0.25
"Multicultural Psychology",PSY325,83,195,3.06,2.91,-0.14
"Theories of Counseling",PSY412,39,57,2.72,3.08,0.37
"Psychology of Personality",PSY403,52,91,2.46,2.71,0.25
"Abnormal Psychology",PSY415,79,202,2.77,2.9,0.12
"Psychology of Women",PSY322,15,32,3.02,2.4,-0.62
"Research Methods In Psychology",PSY204,46,84,2.82,3.03,0.21
"Adolescent Psychology",PSY312,54,89,3.06,3.24,0.18
"Child Psych,  Early Childhood",PSY310,38,58,2.88,3.13,0.26
"Senior Seminar",SOC498,41,50,3.85,3.6,-0.25
"Theories of Learning",PSY402,27,59,1.81,1.55,-0.27
"Probation and Parole",SW320,43,53,3.15,2.91,-0.24
"The Psychology of Identity",PSY321,19,29,2.6,3.05,0.45
"Treatment of Law Violators",SW318,25,33,3.01,2.65,-0.37
"Contemporary Sociological Thry",SOC306,52,66,3.1,2.92,-0.18
Criminology,SOC302,49,79,2.76,2.59,-0.16
"Principles of Sociology",SOC202,31,52,3.06,2.82,-0.24
"Statistics For The Social Scie",PSY307,43,99,2.89,3.02,0.12
"Statistics For Social Sci Act",PSY307A,43,99,2.89,3.02,0.12
"Child Psych,  The Middle Years",PSY311,14,34,2.93,2.58,-0.35
"Contemporary Social Problems",SOC301,46,75,2.9,2.76,-0.13
"Religion In American Life",SOC324,24,23,3.17,3.48,0.31
"Ethnic Relations In America",SOC320,24,24,3.62,3.32,-0.3
"Spec Topics Ud Students",SOC499,11,15,3.82,3.38,-0.44
"Social Stratificationand Inequ",SOC309,61,72,2.83,2.75,-0.08
"Memory and Amnesia",PSY335,16,32,2.21,2.44,0.23
"Family As A Social Institution",SOC321,16,29,3.06,2.84,-0.22
"History and Systems",PSY410,12,30,2.28,2.5,0.22
"Death and Dying",SW470,18,14,3.5,3.21,-0.29
"Survey of Social Welfare",SW300,20,25,3.73,3.55,-0.19
"Senior Seminar",PSY498,41,75,3.53,3.6,0.07
"Social Psychology",PSY401,13,34,2.61,2.77,0.16
"Program Evaluation",PSY430,65,134,3.51,3.55,0.03
"Social Inequality and Sport",SOC451,15,31,3.07,3.21,0.15
"Basic Counseling Skills",PSY417,30,66,3.25,3.31,0.06
"Rsrch Methods In Sociology II",SOC205,32,42,3.83,3.75,-0.08
"Sociology of Minority Commun",SOC323,28,41,3.68,3.59,-0.08
"Statistics For The Social Sci",SOC307,55,60,3.35,3.4,0.05
"Family Violence",SW322,23,23,3.73,3.61,-0.12
"Survey Research",SOC444,33,35,3.36,3.44,0.08
"Social Work Practice",SW301,36,39,3.14,3.07,-0.07
"Technology and Society",SOC440,15,32,3.6,3.71,0.11
"Juvenile Delinquency",SOC360,37,45,3.41,3.47,0.06
"Research Methods In Sociolgy I",SOC204,42,53,2.72,2.77,0.05
"Industrial and Organizatio Psy",PSY332,30,61,3.42,3.48,0.05
"Soc Welfare Policies and Issue",SW431,16,12,3.88,3.75,-0.13
"Survey Research Activity",SOC444A,33,35,3.74,3.69,-0.05
"Basic Developmental Psychology",PSY305,51,93,2.73,2.71,-0.02
"Statistics For Social Sci Act",SOC307A,55,60,3.45,3.48,0.02
"Cognitive Processes",PSY334,25,67,2.53,2.56,0.03
"Urban Sociology",SOC401,16,30,3.23,3.28,0.05
"Field Work",SW402,44,43,4,3.98,-0.02
"Human Relations",PSY314,22,51,3.71,3.72,0.01

