Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"Introduction To Psychology",PSY2201,369,490,2.99,2.47,0.52
"Introduction To Sociology",SOC2201,148,313,2.16,2.08,0.08
"Human Sexuality,  Relationship",PSY4455,308,351,3,2.77,0.23
"Theories of Learning",PSY4402,83,150,2.68,2.28,0.4
"Abnormal Psychology",PSY4150,157,310,2.98,2.76,0.22
"Multicultural Psychology",PSY3325,189,312,3,2.84,0.15
"Basic Developmental Psychology",PSY3305,168,289,3.09,2.92,0.17
"Race and Ethnic Relations",SOC3320,39,137,2.88,2.74,0.14
"Mind Brain Behvr Intgrtd View",PSY2210,64,87,2.85,2.6,0.26
"Juvenile Delinquency",CRM3360,49,155,2.76,2.59,0.17
"Crime Criminalization Society",SOC3345,71,159,3.05,2.75,0.3
"Socialization,  Self and Socie",SOC4402,78,233,2.71,2.74,-0.03
"Adolescent Psychology",PSY3312,65,117,3.16,2.79,0.37
"Social Strat and Inequality",SOC3309,66,246,3.38,3.21,0.17
"Intro Soc Work and Soc Welfare",SW2201,12,35,3.2,3.3,-0.1
"Program Evaluation Lab",PSY4430A,48,52,2.76,2.46,0.3
"Statistics For Psychology Act",PSY3307A,97,170,3.12,2.84,0.28
"Gender and Sexuality",SOC3328,65,197,2.83,3.15,-0.32
"Contemp Treat of Law Violators",CRM3318,14,40,1.92,2.2,-0.27
"Experimental Psychology",PSY4433,66,95,3.17,3.01,0.16
"Qual Mthds For Soclgy Lab",SOC4110L,10,41,3,3.07,-0.07
"Classic Sociological Theory",SOC3305,75,260,2.71,2.8,-0.08
"Statistics For Psychology",PSY3307,97,170,2.97,2.71,0.27
"Statistics For Sociology",SOC3307,46,143,2.91,3.16,-0.25
"Experimental Psychology Act",PSY4433A,66,95,3.2,3.02,0.18
"Cognitive Processes",PSY3334,133,213,2.88,2.67,0.21
"Social Psychology",PSY4401,187,288,3.2,3.02,0.18
"Qualitative Methods For Soc",SOC4110,10,41,2.93,3.1,-0.17
"Spec Topic For Ud Students",PSY4990,16,31,3.44,3.26,0.18
"Social Work Practice",SW3301,13,45,2.98,3.52,-0.54
"Social Work Pract Lab",SW3301L,13,45,2.98,3.52,-0.54
"Organizational Psychology",PSY3332,75,115,3.42,3.21,0.21
"Program Evaluation",PSY4430,48,52,2.67,2.42,0.26
"Psychology of Identity",PSY3321,19,29,3.26,2.32,0.94
"Statistics For Sociology Lab",SOC3307L,46,143,3.07,3.35,-0.28
"Senior Seminar",PSY4611,84,90,3.63,3.52,0.1
"Family Violence",SW3322,23,90,3.41,3.29,0.12
"Basic Counseling Skills",PSY4170,19,29,3.37,2.88,0.48
"Health Psychology",PSY3326,147,221,2.97,2.96,0.01
"Contemp Sociology Theory",SOC3306,41,136,2.9,3.15,-0.25
"Child Psychology For Educators",PSY2206,23,52,2.55,2.81,-0.26
"Research Methods In Sociology",SOC2205,62,220,3.22,3.14,0.08
"Soc Welfare Policy Issues",SW3310,18,76,3.22,3.34,-0.12
"Soc Inequality Sport and Body",SOC4451,31,83,3.03,3.2,-0.17
"Probation and Parole",CRM3320,42,114,3.02,3,0.03
"Senior Symposium",SOC4611,37,112,2.97,3.04,-0.07
"Qualitative Methods In Psych",PSY4404,19,28,3.84,3.86,-0.01
"Qualitative Mthds In Psych Act",PSY4404A,19,28,3.84,3.86,-0.01
"Child Psych,  Early Childhood",PSY3310,35,78,3.32,2.91,0.42
"Technology and Society",SOC4440,12,19,2.15,2.14,0.01
"Research Methods In Psychology",PSY2204,69,113,2.71,2.54,0.18
"Quantitative Mthds Sociology",SOC4100,N<10,26,N<10,2.92,N/A
"Quantitative Mthds Soclgy Lab",SOC4100L,N<10,26,N<10,2.92,N/A
"Community and Urban Sociology",SOC3325,22,90,3.21,3.01,0.2
"Spec Study For Ud Students",PSY4000,32,27,3.92,4,-0.08
"Psychology of Personality",PSY4403,20,29,2.93,2.89,0.04
"Theories of Counseling",PSY4121,18,31,3.19,2.97,0.22
"Latina and O Sociology",SOC3313,N<10,46,N<10,3.18,N/A
"Careers In Psychology",PSY2222,21,27,4,3.99,0.01
Internship,SW4411,12,42,3.92,3.97,-0.05

