"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:05 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2013 - Winter"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2013 - Winter",SOC201,"Principles of Sociology",219,17%,38
"2013 - Winter",PSY210,"Mind, Brain, and Behavior",179,20%,35
"2013 - Winter",PSY201,"General Psychology",515,6%,29
"2013 - Winter",PSY202,"Principles of Psychology I",89,20%,18
"2013 - Winter",SOC202,"Principles of Sociology",56,21%,12
"2013 - Winter",PSY402,"Theories of Learning",24,46%,11
"2013 - Winter",PSY325,"Multicultural Psychology",107,9%,10
"2013 - Winter",PSY334,"Cognitive Processes",48,17%,8
"2013 - Winter",PSY326,"Health Psychology",121,7%,8
"2013 - Winter",PSY410,"History and Systems",49,14%,7
"2013 - Winter",PSY322,"Psychology of Women",37,16%,6
"2013 - Winter",PSY204,"Research Methods In Psychology",57,11%,6
"2013 - Winter",PSY415,"Abnormal Psychology",48,10%,5
"2013 - Winter",PSY307,"Statistics For The Social Scie",68,7%,5
"2013 - Winter",SW318,"Treatment of Law Violators",43,9%,4
"2013 - Winter",PSY403,"Psychology of Personality",46,9%,4
"2013 - Winter",PSY311,"Child Psych,  The Middle Years",48,8%,4
"2013 - Winter",PSY305,"Basic Developmental Psychology",48,8%,4
"2013 - Winter",SOC204,"Research Methods In Sociolgy I",51,8%,4
"2013 - Winter",PSY307A,"Statistics For Social Sci Act",68,6%,4
"2013 - Winter",PSY401,"Social Psychology",96,4%,4
"2013 - Winter",SOC322,"Politics As A Soc Institution",40,8%,3
"2013 - Winter",SOC340,"Social Change",43,7%,3
"2013 - Winter",SOC402,"Socialization,  Self and Socie",47,6%,3
"2013 - Winter",SOC360,"Juvenile Delinquency",48,6%,3
"2013 - Winter",PSY498,"Senior Seminar",75,4%,3
"2013 - Winter",PSY455,"Human Sexual Behav,  Relatnshi",129,2%,3
"2013 - Winter",SOC498,"Senior Seminar",36,6%,2
"2013 - Winter",SOC309,"Social Stratificationand Inequ",44,5%,2
"2013 - Winter",SOC320,"Ethnic Relations In America",46,4%,2
"2013 - Winter",SW431,"Soc Welfare Policies and Issue",18,6%,1
"2013 - Winter",SOC301,"Contemporary Social Problems",42,2%,1
"2013 - Winter",SOC302,Criminology,47,2%,1
"2013 - Winter",PSY312,"Adolescent Psychology",48,2%,1

