credit_score_brack,cred_hist_length_brack,loan_percent_income_brack,loan_int_rate_brack,loan_amnt_brack,person_income_brack,person_age_brack,person_gender,person_education,person_home_ownership,loan_intent,previous_loan_defaults_on_file,loan_status
poor,3,.3+,15+,20k+,"70k - 89,999",<30,female,Master,RENT,PERSONAL,No,1
poor,2,0-.09,10 - 15,<5k,<30k,<30,female,High School,OWN,EDUCATION,Yes,0
fair,3,.3+,10 - 15,5k - 9.99k,<30k,<30,female,High School,MORTGAGE,MEDICAL,No,1
good,2,.3+,15+,20k+,"70k - 89,999",<30,female,Bachelor,RENT,MEDICAL,No,1
fair,4,.3+,10 - 15,20k+,"50k - 69,999",<30,male,Master,RENT,MEDICAL,No,1
poor,2,.1 - .19,<10,<5k,<30k,<30,female,High School,OWN,VENTURE,No,1
good,3,.3+,10 - 15,20k+,90k,<30,female,Bachelor,RENT,EDUCATION,No,1
fair,4,.3+,10 - 15,20k+,90k,<30,female,High School,RENT,MEDICAL,No,1
poor,2,.3+,<10,20k+,90k,<30,female,Associate,RENT,PERSONAL,No,1
fair,3,.1 - .19,10 - 15,<5k,<30k,<30,female,High School,OWN,VENTURE,No,1
fair,4,.3+,10 - 15,20k+,90k,<30,female,High School,RENT,VENTURE,No,1
fair,2,.3+,<10,<5k,<30k,<30,female,Associate,OWN,HOMEIMPROVEMENT,No,1
poor,2,.3+,<10,20k+,90k,<30,male,Bachelor,RENT,VENTURE,No,1
good,4,.2 - .29,15+,20k+,90k,<30,male,Master,RENT,EDUCATION,No,1
fair,4,.2 - .29,<10,20k+,90k,<30,female,Associate,RENT,EDUCATION,No,0
good,3,0-.09,10 - 15,20k+,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.2 - .29,<10,20k+,90k,<30,male,Bachelor,RENT,EDUCATION,No,0
good,4,.3+,15+,20k+,90k,<30,female,High School,RENT,MEDICAL,No,1
good,4,.2 - .29,15+,20k+,90k,<30,male,Bachelor,RENT,DEBTCONSOLIDATION,No,1
good,2,.1 - .19,10 - 15,<5k,<30k,<30,female,Master,MORTGAGE,EDUCATION,No,1
good,4,.1 - .19,<10,20k+,90k,<30,male,Bachelor,RENT,VENTURE,Yes,0
fair,2,.2 - .29,15+,20k+,90k,<30,male,High School,RENT,PERSONAL,No,0
good,4,.3+,15+,20k+,"70k - 89,999",<30,female,Master,RENT,EDUCATION,No,1
fair,3,.1 - .19,<10,<5k,<30k,<30,female,Bachelor,OWN,PERSONAL,Yes,0
good,4,.3+,10 - 15,20k+,90k,<30,male,Bachelor,RENT,PERSONAL,No,1
fair,3,.3+,10 - 15,20k+,"70k - 89,999",<30,female,High School,RENT,HOMEIMPROVEMENT,No,1
fair,3,.3+,15+,<5k,<30k,<30,female,Associate,MORTGAGE,VENTURE,No,1
fair,3,.1 - .19,<10,<5k,<30k,<30,male,High School,OWN,PERSONAL,No,0
good,3,.3+,<10,20k+,"70k - 89,999",<30,female,Bachelor,RENT,HOMEIMPROVEMENT,No,1
fair,3,.1 - .19,10 - 15,<5k,<30k,<30,male,High School,OWN,MEDICAL,No,1
