submission_id,drink_at_home,drink_at_office,drink_on_go,drink_at_cafe,drink_none_of_these,home_brew_pour_over,home_brew_french_press,home_brew_espresso,home_brew_mr_coffee,home_brew_pods,home_brew_instant,home_brew_bean2cup,home_brew_cold_brew,home_brew_cometeer,home_brew_other,coffee_black,coffee_milk_alt_creamer,coffee_sugar,coffee_syrup,coffee_other,favorite_abcd,remote_work,money_spend_a_month,why_drink_taste_good,why_drink_caffeine,why_drink_ritual,why_drink_makes_bathroom,why_drink_other,like_taste,know_where_coffee_comes_from,good_value_cafe,equipment_spent_5years,good_value_equipment,gender,education_level,ethnicity_race,employment_status,number_of_children,political_affiliation,age_2534,age_3544,age_1824,age_4554,age_5564,age_over65,age_under18,cup_per_day2,cup_per_day1,cup_per_day3,cup_per_dayless1,cup_per_day4,cup_per_daymore4,favorite_coffee_pourover,favorite_coffee_latte,favorite_coffee_drip,favorite_coffee_espresso,favorite_coffee_cappuccino,favorite_coffee_cortado,favorite_coffee_americano,favorite_coffee_icedcoffee,favorite_coffee_mocha,favorite_coffee_coldbrew,favorite_coffee_other,favorite_coffee_blended,coffee_char_pref_fruity,coffee_char_pref_chocolatey,coffee_char_pref_fullbody,coffee_char_pref_bright,coffee_char_pref_juicy,coffee_char_pref_nutty,coffee_char_pref_sweet,coffee_char_pref_caramalized,coffee_char_pref_floral,coffee_char_pref_bold,coffee_strength_somestrong,coffee_strength_medium,coffee_strength_verystrong,coffee_strength_somelight,coffee_strength_weak,roast_pref_light,roast_pref_medium,roast_pref_dark,roast_pref_nordic,roast_pref_blonde,roast_pref_french,roast_pref_italian,caffeine_pref_full,caffeine_pref_half,caffeine_pref_decaf,expert7,expert6,expert5,expert8,expert4,expert3,expert2,expert1,expert9,expert10,coffee_a_bitter2,coffee_a_bitter1,coffee_a_bitter3,coffee_a_bitter4,coffee_a_bitter5,coffee_a_acid4,coffee_a_acid3,coffee_a_acid5,coffee_a_acid2,coffee_a_acid1,coffee_a_pref4,coffee_a_pref3,coffee_a_pref2,coffee_a_pref5,coffee_a_pref1,coffee_b_bitter3,coffee_b_bitter4,coffee_b_bitter2,coffee_b_bitter1,coffee_b_bitter5,coffee_b_acid2,coffee_b_acid3,coffee_b_acid1,coffee_b_acid4,coffee_b_acid5,coffee_b_pref3,coffee_b_pref2,coffee_b_pref4,coffee_b_pref5,coffee_b_pref1,coffee_c_bitter3,coffee_c_bitter4,coffee_c_bitter2,coffee_c_bitter5,coffee_c_bitter1,coffee_c_acid2,coffee_c_acid3,coffee_c_acid1,coffee_c_acid4,coffee_c_acid5,coffee_c_pref3,coffee_c_pref4,coffee_c_pref2,coffee_c_pref5,coffee_c_pref1,coffee_d_bitter2,coffee_d_bitter1,coffee_d_bitter3,coffee_d_bitter4,coffee_d_bitter5,coffee_d_acid4,coffee_d_acid5,coffee_d_acid3,coffee_d_acid2,coffee_d_acid1,coffee_d_pref5,coffee_d_pref4,coffee_d_pref1,coffee_d_pref3,coffee_d_pref2,most_spent_68,most_spent_810,most_spent_1015,most_spent_46,most_spent_1520,most_spent_more20,most_spent_24,most_spent_less2,willing_spend_810,willing_spend_1015,willing_spend_68,willing_spend_more20,willing_spend_1520,willing_spend_46,willing_spend_24,willing_spend_less2
ylqbBg,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Coffee B,I primarily work from home,$20-$40,1,0,0,0,0,Yes,Yes,No,$500-$1000,Yes,Male,Master's degree,Other (please specify),Employed full-time,2,No affiliation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
YZzBdN,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Coffee A,I do a mix of both,$40-$60,1,1,0,0,0,Yes,Yes,Yes,$50-$100,Yes,Male,Master's degree,Asian/Pacific Islander,Unemployed,None,Independent,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
VZ17Z6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Coffee D,I primarily work in person,$20-$40,1,0,0,0,0,Yes,Yes,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RzBeZj,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Coffee A,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
WApbkQ,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Coffee A,I do a mix of both,$60-$80,1,0,1,0,0,Yes,Yes,Yes,"More than $1,000",Yes,Male,Less than high school,Black/African American,Unemployed,2,Independent,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0Ej0WA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Coffee D,I primarily work from home,>$100,1,1,0,0,0,Yes,Yes,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Republican,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9dJYlQ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Coffee D,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
eBxG20,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,Coffee C,I do a mix of both,$20-$40,1,1,1,0,0,Yes,Yes,No,"More than $1,000",No,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NAB2qB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Coffee B,I primarily work from home,$60-$80,1,0,1,0,0,Yes,No,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
RzBqoJ,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Coffee D,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
